Piloto,Títulos,Construtores,Tot. Títulos,Corridas,Pódios,P1,P2,P3,Top 5,Top 10,Poles,Fast Laps,Abandonos,DQ,Estreia,Ultima,Etapas por DNF/DQ,Etapas Por Pódio,Etapas Por Vitória
Alexander Franco,0,0,0,7,0,0,0,0,2,6,0,0,0,0,2015/2,2015/2,0,N/A,N/A
Leandro Deodato,0,0,0,7,0,0,0,0,0,2,0,0,4,0,2015/2,2015/3,1.75,N/A,N/A
Rodrigo Carvalho,0,0,0,7,0,0,0,0,0,1,0,0,6,0,2015/2,2015/2,1.17,N/A,N/A
Felipe Monteiro,0,0,0,7,1,0,0,1,2,6,1,1,1,0,2016/1,2016/1,7,7,N/A
Izael Castro,0,0,0,7,1,0,0,1,3,5,0,0,1,0,2016/1,2016/1,7,7,N/A
Enrico Espada,0,0,0,7,1,0,1,0,2,3,0,0,3,0,2016/2,2016/3,2.33,7,N/A
Elizeu Filho,0,0,0,7,1,0,1,0,2,6,0,0,0,0,2018/1,2018/1,0,7,N/A
Thiago Moro,0,0,0,7,0,0,0,0,0,0,0,0,3,0,2018/1,2018/1,2.33,N/A,N/A
Adriano Matano,0,0,0,7,0,0,0,0,0,4,0,0,3,0,2018/3,2018/3,2.33,N/A,N/A
Hiago Cosmann,0,0,0,7,3,1,2,0,3,5,0,0,1,0,2019/1,2019/2,7,2.33,7
Eraldo Silva,0,0,0,6,1,1,0,0,2,2,0,0,2,1,2012/3,2013/1,2,6,6
John Siqueira,0,0,0,6,0,0,0,0,0,0,0,0,2,1,2012/3,2012/3,2,N/A,N/A
Joao Bregonci,0,0,0,6,0,0,0,0,0,1,0,0,3,0,2013/2,2013/2,2,N/A,N/A
Lucas Abreu,0,0,0,6,0,0,0,0,0,2,2,0,2,1,2013/3,2013/3,2,N/A,N/A
Adriano Freitas,0,0,0,6,1,0,1,0,4,4,2,0,2,0,2014/1,2014/1,3,6,N/A
Ramon Barros,0,0,0,6,1,0,0,1,2,4,0,0,1,0,2014/1,2014/1,6,6,N/A
Alex Couri,0,0,0,6,0,0,0,0,0,1,0,0,0,1,2014/1,2014/1,6,N/A,N/A
Marco Sorrilha,0,0,0,6,2,0,1,1,3,4,0,0,1,0,2015/2,2015/2,6,3,N/A
Emerson Moreno,0,0,0,6,0,0,0,0,0,0,0,0,1,0,2016/1,2016/1,6,N/A,N/A
Wester Torres,0,0,0,6,0,0,0,0,0,0,0,0,1,0,2020/3,2021/2,6,N/A,N/A
Junior Feijo,0,0,0,6,1,1,0,0,1,3,0,0,0,0,2022/2,2022/2,0,6,6
Caetano Paiva,0,0,0,5,0,0,0,0,2,4,0,0,1,0,2011/1,2011/1,5,N/A,N/A
Edson Luiz,0,0,0,5,0,0,0,0,0,3,0,0,0,0,2012/1,2012/1,0,N/A,N/A
Rafael Bonifacio,0,0,0,5,0,0,0,0,0,0,0,0,2,0,2012/1,2012/2,2.5,N/A,N/A
Caio Russi,0,0,0,5,0,0,0,0,1,2,0,0,0,1,2013/1,2013/1,5,N/A,N/A
Vitor Genz,0,0,0,5,0,0,0,0,0,1,0,0,4,0,2013/1,2013/1,1.25,N/A,N/A
Thiago Morais,0,0,0,5,1,0,0,1,1,1,0,0,2,0,2013/2,2013/2,2.5,5,N/A
Adriano Dino,0,0,0,5,1,0,0,1,2,3,0,0,1,0,2013/3,2013/3,5,5,N/A
